Name,Email,Category,Genres,Notes
ScoreKeepers Music,eric@scorekeepersmusic.com,Sync Agency,"Hip-Hop, R&B, Jazz, Pop","Submit at composers.scorekeepersmusic.com. Phone: (323) 544-9204"
Music Gorilla,info@musicgorilla.com,Music Submission Platform,"Hip-Hop, R&B, Jazz, Pop, All","Connects indie artists with labels, TV, film. Phone: 201-796-8742"
Another Planet Music,info@anotherplanetmusic.net,Music Library / Licensing,"Jazz, R&B, Pop, Eclectic","UK-based master licensing catalogue company"
Koze Music Publishing,info@kozemusic.com,Sync Agency / Publisher,"Hip-Hop, Indie, Folk, Pop, R&B","LA/Nashville/Auckland. 1000+ placements across TV/ads/film/games"
Stones Throw Records (Licensing),jack@stonesthrow.com,Record Label / Sync,"Hip-Hop, Jazz, Soul, Lo-Fi","Jack Sills – Publishing Director & Licensing. Home of Madlib/J Dilla catalog"
Rhymesayers Entertainment (Licensing),licensing@rhymesayers.com,Record Label / Sync,"Hip-Hop, Rap, Conscious Hip-Hop","Independent hip-hop label since 1995. License their catalog"
Rhymesayers Entertainment (General),info@rhymesayers.com,Record Label,"Hip-Hop, Rap, Conscious Hip-Hop","Minneapolis-based indie hip-hop institution"
Stef Angel Music Group (Submissions),musicsubmission@stefangelmusic.com,Publisher / A&R,"Hip-Hop/Rap, R&B, Pop, Gospel, All","Accepts unsolicited material. Contact: Stefaniah McGowan"
Stef Angel Music Group (General),info@stefangelmusic.com,Publisher / A&R,"Hip-Hop/Rap, R&B, Pop, Gospel, All","Full-service music production & A&R"
Concord Music Group,submissions@concordmusicgroup.com,Major Publisher / Label,"Jazz, R&B, Hip-Hop, Soul, Pop","Parent of multiple imprints. Accepts unsolicited material"
Kobalt Music,info@kobaltmusic.com,Music Publisher,"Hip-Hop, R&B, Pop, Jazz, All","Major indie publisher. LA/NY/Nashville/London offices"
Round Hill Music,info@roundhillmusic.com,Music Publisher,"Hip-Hop, R&B, Pop, Indie, All","Full-service music publishing co. Acquired Zync Music sync division"
Nova Music UK (Publishing & Sync),sophie@novamusic.co.uk,Sync Agency / Publisher,"Neo-Soul, Jazz, Hip-Hop, Indie, Alt","London/West London-based. Urban-jazz, psychedelia, neo-soul focus"
Nova Music UK (Alternate),sophie@novapresents.com,Sync Agency / Publisher,"Neo-Soul, Jazz, Hip-Hop, Indie, Alt","Director/Agency MD for Nova Publishing & Sync"
Malaco Records,demo@malaco.com,Record Label,"R&B, Gospel, Jazz, Blues, Soul","Jackson MS indie label. Accepts R&B/soul/gospel demos"
Delmark Records (Jazz Promo),jazzpromo@delmark.com,Record Label,"Jazz, Blues","Chicago jazz label. 70+ years of jazz history"
Delmark Records (General),delmark@delmark.com,Record Label,"Jazz, Blues","General contact for Delmark Records Chicago"
Mack Avenue Records,info@mackavenue.com,Record Label / Sync,"Jazz","Grosse Pointe Farms MI. Premier jazz record label"
Posi-Tone Records,info@posi-tone.com,Record Label,"Jazz","LA-based jazz label. 85+ title catalog of top jazz musicians"
Verve Music Group,contact@vervemusicgroup.com,Record Label / Publisher,"Jazz, Adult Contemporary, R&B","UMG jazz imprint with legendary catalog"
Rexius Records,info@rexiusrecords.com,Record Label,"Hip-Hop, Rock, Pop","Sweden-based indie-major. Accepts worldwide submissions free. Link only"
Red Entertainment,info@redentertainment.com,Management / Label,"Rock, Funk, Jazz, Gospel, R&B, Pop, Latin, Hip-Hop","NY-based. Note: no unsolicited material"
Crush Music,info@crushmusic.com,Management / Label,"Rock, Pop, Indie, Hip-Hop","NY-based. Note: no unsolicited material"
Countdown Entertainment,brenda@countdownentertainment.com,Management / Promotion,"Urban, Hip-Hop, Pop, Rock, Country","NY-based. Accepts unsolicited material – see site for submission details"
Pyramid Entertainment,smichaels@pyramid-ent.com,Booking / Management,"Urban, Jazz, Gospel, R&B, Funk, Hip-Hop","NY-based. Contact: Sal Michaels. Note: no unsolicited material"
Def Ro Inc.,defroinc@msn.com,Label / Management,"R&B, Hip-Hop, Pop","Bloomfield NJ. Contact: Ro Smith"
Deep South Entertainment,info@deepsouthentertainment.com,Label / Management,"R&B, Hip-Hop, Pop, Country","Raleigh NC. Phone: 919-844-1515"
The REGIME,info@regimeinc.com,Management,"Hip-Hop, Latin Jazz, Funk, Reggae","Malibu CA. Roster includes Everlast, Dilated Peoples, DJ Muggs"
RX Music,sales@rxmusic.com,Background Music / Licensing,"Hip-Hop, Jazz, R&B, Pop, All","Business/background music service for hotels, retail, restaurants. 22 yrs"
I Am Hip-Hop Magazine,info@iamhiphopmagazine.com,Music Blog / Press,"Hip-Hop, Rap, Urban","2M visitors/yr. Send links + bio + hi-res image. £30 for album/EP reviews"
Terrorbird Media (Licensing),contact@terrorbird.com,Sync Agency,"Hip-Hop, Indie, R&B, Alt, All","NYC/CHI/LA/LON. Email decoded from Cloudflare protection. Sync+publishing+radio"
Audiosocket (General),storefront@audiosocket.com,Sync Licensing Platform,"Hip-Hop, R&B, Jazz, Indie, All","Artist registration via artists.audiosocket.com – email decoded from Cloudflare"
Third Side Music,info@thirdsidemusic.com,Sync Agency / Publisher,"Hip-Hop, Indie, R&B, Electronic, All","Global indie publisher. 70k+ titles. Roster: BADBADNOTGOOD, SOFI TUKKER"
Sentric Music (Support),support@sentric.com,Music Publisher,"Hip-Hop, R&B, Pop, Indie, All","Liverpool-based indie publisher. No upfront fees. 20% commission only"
Sentric Music Publishing (London),london@sentricmusic.com,Music Publisher,"Hip-Hop, R&B, Pop, Indie, All","London office contact for Sentric Music"
Sentric Music Publishing (Support),support@sentricmusic.com,Music Publisher,"Hip-Hop, R&B, Pop, Indie, All","General support for Sentric Music Publishing"
Sentric Music (Germany/Hamburg),info@sentricmusic.de,Music Publisher,"Hip-Hop, R&B, Pop, Indie, All","Hamburg office – German market"
Sentric Music (New York),nyc@sentricmusic.com,Music Publisher,"Hip-Hop, R&B, Pop, Indie, All","NYC office for Sentric Music Publishing"
Sentric Music (Spain),spain@sentricmusic.com,Music Publisher,"Hip-Hop, R&B, Pop, Indie, All","Spain office for Sentric Music Publishing"
Marmoset Music (Creative/Licensing),creative@marmosetmusic.com,Sync Agency,"Hip-Hop, Jazz, R&B, Indie, Alt, All","Portland OR boutique agency. For sync/creative project inquiries"
Marmoset Music (Support),support@marmosetmusic.com,Sync Agency,"Hip-Hop, Jazz, R&B, Indie, Alt, All","For existing artist account support"
Pusher Music,info@pushermusic.com,Sync Agency / Custom,"Hip-Hop, Electronic, Orchestral, Neo-Classical","10+ years. Inception/Star Wars/Fast X trailer credits. 150+ artists"
Bank Robber Music (General),info@bankrobbermusic.com,Sync Agency,"Hip-Hop, R&B, Indie, Alt, All","General inquiries: mechanical/sample/sync. PO Box 6212 Hoboken NJ"
Stones Throw Records (Demos),demos@stonesthrow.com,Record Label,"Hip-Hop, Jazz, Soul, Lo-Fi","Demo submissions contact: Oscar P. Madlib/J Dilla label home"
Stones Throw Records (Europe),maya@stonesthrow.com,Record Label,"Hip-Hop, Jazz, Soul, Lo-Fi","Europe regional contact at Stones Throw"
Stones Throw Records (Asia),kota@stonesthrow.com,Record Label,"Hip-Hop, Jazz, Soul, Lo-Fi","Asia regional contact at Stones Throw"
Lyric House – Jessica,jessica@lyrichouseco.com,Sync Agency / Publisher,"Hip-Hop, R&B, Pop, All","Individual team contact – Lyric House LA"
Lyric House – Jonathan,jonathan@lyrichouseco.com,Sync Agency / Publisher,"Hip-Hop, R&B, Pop, All","Individual team contact – Lyric House LA"
Lyric House – Flannery,flannery@lyrichouseco.com,Sync Agency / Publisher,"Hip-Hop, R&B, Pop, All","Individual team contact – Lyric House LA"
Lyric House – James,james@lyrichouseco.com,Sync Agency / Publisher,"Hip-Hop, R&B, Pop, All","Individual team contact – Lyric House LA"
Lyric House – Mike,mike@lyrichouseco.com,Sync Agency / Publisher,"Hip-Hop, R&B, Pop, All","Individual team contact – Lyric House LA"
Lyric House – Madilyn,madilyn@lyrichouseco.com,Sync Agency / Publisher,"Hip-Hop, R&B, Pop, All","Individual team contact – Lyric House LA"
Lyric House – Faith,faith@lyrichouseco.com,Sync Agency / Publisher,"Hip-Hop, R&B, Pop, All","Individual team contact – Lyric House LA"
Lyric House (Careers),careers@lyrichouseco.com,Sync Agency / Publisher,"Hip-Hop, R&B, Pop, All","Career/staffing inquiries – Lyric House LA"
411 Music Group (Licensing),licensing@411musicgroup.com,Sync Agency / Publisher,"Hip-Hop, Jazz, R&B, Pop, All","Found via Amadea distribution network. LA-based sync company"
CDM Music (France),arnaud@cdm-music.com,Sub-Publisher / Sync,"All Genres","Amadea sub-publisher – France market. Contact: Arnaud"
Hi-Five Music (Korea),bestjiyun0625@hi-five.kr,Sub-Publisher / Sync,"All Genres","Amadea sub-publisher – South Korea market"
Miles of Musik (Israel),oded@milesofmusik.com,Sub-Publisher / Sync,"All Genres","Amadea sub-publisher – Israel market. Contact: Oded"
Vi Musica (Brazil),vimusica@vimusica.com,Sub-Publisher / Sync,"All Genres","Amadea sub-publisher – Brazil/Latin America market"
CTM Music (Netherlands),Charlotte.Stricker@ctm.nl,Sub-Publisher / Sync,"All Genres","Amadea sub-publisher – Netherlands market. Contact: Charlotte Stricker"
Silk Road Music (Middle East),af@silkrd.com,Sub-Publisher / Sync,"All Genres","Amadea sub-publisher – Middle East market"
Kouros Music (Japan),seika@kouros.co.jp,Sub-Publisher / Sync,"All Genres","Amadea sub-publisher – Japan market. Contact: Seika"
Fresh Tracks (Germany),tom.huebner@freshtracks.de,Sub-Publisher / Sync,"All Genres","Amadea sub-publisher – Germany market. Contact: Tom Huebner"
Muzik Otek (Turkey),sara@muzikotek.com.tr,Sub-Publisher / Sync,"All Genres","Amadea sub-publisher – Turkey market. Contact: Sara"
Beatbox Music (Australasia),info@beatboxmusic.com,Sub-Publisher / Sync,"All Genres","Amadea sub-publisher – Australasia market"
U Joy Sound (China),kevin@ujoysound.com,Sub-Publisher / Sync,"All Genres","Amadea sub-publisher – China market. Contact: Kevin"
Studio Fontana (Czech Republic),milan.korba@studiofontana.com,Sub-Publisher / Sync,"All Genres","Amadea sub-publisher – Czech Republic. Contact: Milan Korba"
Upright Music (Scandinavia),ds@upright-music.com,Sub-Publisher / Sync,"All Genres","Amadea sub-publisher – Scandinavia market"
Tonosfera (Latin America),lenz@tonosfera.com,Sub-Publisher / Sync,"All Genres","Amadea sub-publisher – Latin America market. Contact: Lenz"
Apollo Music CIS (Russia/CIS),yuliya@apollomusiccis.com,Sub-Publisher / Sync,"All Genres","Amadea sub-publisher – Russia/CIS market. Contact: Yuliya"
FM Records (Italy),alessandropinnelli@fmrecords.it,Sub-Publisher / Sync,"All Genres","Amadea sub-publisher – Italy market. Contact: Alessandro Pinnelli"
Yellow Groove Music (Greece),publishing@yellowgroove.gr,Sub-Publisher / Sync,"All Genres","Amadea sub-publisher – Greece market"
